X Y Z Distanz Orientierung Zeitstempel
-1038.26 2119.35 0 2360 116.1 5804.94
-1048.58 2130.99 0 2375 116.2 5804.94
-1043.88 2112.12 0 2356 116.3 5804.94
-1042.22 2099.55 0 2344 116.4 5804.94
-1046.78 2099.52 0 2346 116.5 5804.94
-1059.4 2115.57 0 2366 116.6 5804.94
-1054.1 2095.85 0 2346 116.7 5804.94
-1057.31 2093.11 0 2345 116.8 5804.94
-1061.41 2092.16 0 2346 116.9 5804.94
-1058.71 2077.83 0 2332 117 5804.94
-1061.88 2075.09 0 2331 117.1 5804.94
-1062.3 2067 0 2324 117.2 5804.94
-1068.65 2070.48 0 2330 117.3 5804.94
-1071.81 2067.72 0 2329 117.4 5804.94
-1072.18 2059.64 0 2322 117.5 5804.94
-1082.26 2070.17 0 2336 117.6 5804.94
-1086.34 2069.16 0 2337 117.7 5804.94
-1084.82 2057.54 0 2326 117.8 5804.94
-1083.26 2045.92 0 2315 117.9 5804.94
-1088.7 2047.56 0 2319 118 5804.94
-1092.28 2045.65 0 2319 118.1 5804.94
-1095.37 2042.86 0 2318 118.2 5804.94
-1096.09 2035.66 0 2312 118.3 5804.94
-1105.83 2045.18 0 2325 118.4 5804.94
-1099.85 2025.67 0 2305 118.5 5804.94
-1102.43 2021.99 0 2303 118.6 5804.94
-1106.92 2021.82 0 2305 118.7 5804.94
-1113.81 2026.02 0 2312 118.8 5804.94
-1098.02 1989.06 0 2272 118.9 5804.94
-1109.73 2002 0 2289 119 5804.94
-1121.49 2014.92 0 2306 119.1 5804.94
-1122.57 2008.59 0 2301 119.2 5804.94
-1118.73 1993.55 0 2286 119.3 5804.94
-1119.75 1987.24 0 2281 119.4 5804.94
-1126.17 1990.5 0 2287 119.5 5804.94
-1127.18 1984.19 0 2282 119.6 5804.94
-1128.65 1978.74 0 2278 119.7 5804.94
-1135.59 1982.84 0 2285 119.8 5804.94
-1141.04 1984.33 0 2289 119.9 5804.94
-1139.5 1973.67 0 2279 120 5804.94
-1134.92 1957.84 0 2263 120.1 5804.94
-1145.88 1968.82 0 2278 120.2 5804.94
