X Y Z Distanz Orientierung Zeitstempel
3544.16 420.351 0 3569 6.7639 0
3537.72 420.483 0 3562.63 6.7782 0
3548.91 422.711 0 3574 6.7925 0
3537.76 422.278 0 3562.88 6.8068 0
3541.26 423.592 0 3566.5 6.8211 0
3540.41 424.386 0 3565.75 6.8354 0
3535.09 424.644 0 3560.5 6.8497 0
3543.17 426.512 0 3568.75 6.864 0
3542.94 427.382 0 3568.63 6.8783 0
3543.08 428.296 0 3568.88 6.8926 0
3536.89 428.443 0 3562.75 6.9069 0
3539.89 429.703 0 3565.88 6.9212 0
3542.02 430.858 0 3568.13 6.9355 0
3540.05 431.515 0 3566.25 6.9498 0
3549.37 433.55 0 3575.75 6.9641 0
3540.45 433.358 0 3566.88 6.9784 0
3551.01 435.55 0 3577.63 6.9927 0
3534.4 434.409 0 3561 7.007 0
3546.08 436.742 0 3572.88 7.0213 0
3540.02 436.892 0 3566.88 7.0356 0
3533.46 436.978 0 3560.38 7.0499 0
3536.7 438.275 0 3563.75 7.0642 0
3537.7 439.296 0 3564.88 7.0785 0
3538.09 440.241 0 3565.38 7.0928 0
3537.24 441.031 0 3564.63 7.1071 0
3537.5 441.961 0 3565 7.1214 0
3540.86 443.278 0 3568.5 7.1357 0
3541.37 444.24 0 3569.13 7.15 0
3539.65 444.921 0 3567.5 7.1643 0
3541.02 445.992 0 3569 7.1786 0
3538.18 446.531 0 3566.25 7.1929 0
3535.34 447.069 0 3563.5 7.2072 0
3538.71 448.392 0 3567 7.2215 0
3538.1 449.212 0 3566.5 7.2358 0
3543.19 450.757 0 3571.75 7.2501 0
3538.37 451.041 0 3567 7.2644 0
3545.32 452.827 0 3574.13 7.2787 0
3540.87 453.156 0 3569.75 7.293 0
3537.29 453.595 0 3566.25 7.3073 0
3548.45 455.927 0 3577.63 7.3216 0
3539.41 455.664 0 3568.63 7.3359 0
3545 457.283 0 3574.38 7.3502 0
3536.83 457.126 0 3566.25 7.3645 0
3539.94 458.426 0 3569.5 7.3788 0
3543.79 459.824 0 3573.5 7.3931 0
3544.92 460.87 0 3574.75 7.4074 0
3540.46 461.19 0 3570.38 7.4217 0
3539.73 461.992 0 3569.75 7.436 0
3544.57 463.524 0 3574.75 7.4503 0
3541.85 464.068 0 3572.13 7.4646 0
3536.16 464.219 0 3566.5 7.4789 0
3537.28 465.265 0 3567.75 7.4932 0
3545.72 467.275 0 3576.38 7.5075 0
