X;Y;Z;ROT;GRüN;BLAU;STEIGUNG;;;;
848,957;-384,572;0;80;114;137;0,97004;;;;
849,724;-385,302;0;80;114;137;0,97004;;;;
854,589;-387,892;0;80;114;137;0,97004;;;;
861,272;-391,314;0;80;114;137;0,97004;;;;
835,183;-379,837;0;80;114;137;0,97004;;;;
848,238;-386,157;0;80;114;137;0,97004;;;;
855,373;-389,791;0;80;114;137;0,97004;;;;
852,498;-388,865;0;80;114;137;0,97004;;;;
855,082;-390,43;0;80;114;137;0,97004;;;;
860,848;-393,451;0;80;114;137;0,97004;;;;
856,154;-391,692;0;80;114;137;0,97004;;;;
862,372;-394,927;0;80;114;137;0,97004;;;;
849,952;-389,623;0;80;114;137;0,97004;;;;
852,533;-391,192;0;80;114;137;0,97004;;;;
853,75;-392,136;0;80;114;137;0,97004;;;;
857,238;-394,126;0;80;114;137;0,97004;;;;
848,461;-390,474;0;80;114;137;0,97004;;;;
849,677;-391,419;0;80;114;137;0,97004;;;;
859,066;-396,133;0;80;114;137;0,97004;;;;
853,47;-393,939;0;80;114;137;0,97004;;;;
843,791;-389,854;0;80;114;137;0,97004;;;;
851,361;-393,737;0;80;114;137;0,97004;;;;
861,65;-398,886;0;80;114;137;0,97004;;;;
854,242;-395,845;0;80;114;137;0,97004;;;;
847,29;-393,008;0;80;114;137;0,97004;;;;
851,678;-395,43;0;80;114;137;0,97004;;;;
846,996;-393,641;0;80;114;137;0,97004;;;;
858,183;-399,229;0;80;114;137;0,97004;;;;
848,515;-395,118;0;80;114;137;0,97004;;;;
853,806;-397,969;0;80;114;137;0,97004;;;;
859,548;-401,036;0;80;114;137;0,97004;;;;
851,696;-397,761;0;80;114;137;0,97004;;;;
852,453;-398,502;0;80;114;137;0,97004;;;;
855,022;-400,092;0;80;114;137;0,97004;;;;
850,797;-398,503;0;80;114;137;0,97004;;;;
866,946;-406,461;0;80;114;137;0,97004;;;;
854,573;-401,05;0;80;114;137;0,97004;;;;
858,949;-403,495;0;80;114;137;0,97004;;;;
849,748;-399,561;0;80;114;137;0,97004;;;;
864,528;-406,905;0;80;114;137;0,97004;;;;
839,499;-395,507;0;80;114;137;0,97004;;;;
853,37;-402,432;0;80;114;137;0,97004;;;;
856,837;-404,458;0;80;114;137;0,97004;;;;
851,261;-402,215;0;80;114;137;0,97004;;;;
855,179;-404,457;0;80;114;137;0,97004;;;;
849,605;-402,209;0;80;114;137;0,97004;;;;
857,587;-406,38;0;80;114;137;0,97004;;;;
861,05;-408,415;0;80;114;137;0,97004;;;;
860,897;-408,736;0;80;114;137;0,97004;;;;
853,97;-405,838;0;80;114;137;0,97004;;;;
848,852;-403,795;0;80;114;137;0,97004;;;;
847,347;-403,467;0;80;114;137;0,97004;;;;
855,772;-407,871;0;80;114;137;0,97004;;;;
857,425;-409,051;0;80;114;137;0,97004;;;;
862,686;-411,957;0;80;114;137;0,97004;;;;
852,157;-407,32;0;80;114;137;0,97004;;;;
849,749;-406,559;0;80;114;137;0,97004;;;;
847,793;-406,013;0;80;114;137;0,97004;;;;
864,324;-414,326;0;80;114;137;0,97004;;;;
853,801;-409,674;0;80;114;137;0,97004;;;;
850,042;-408,261;0;80;114;137;0,97004;;;;
852,593;-409,878;0;80;114;137;0,97004;;;;
845,232;-406,728;0;80;114;137;0,97004;;;;
860,396;-414,421;0;80;114;137;0,97004;;;;
853,034;-411,268;0;80;114;137;0,97004;;;;
855,132;-412,673;0;80;114;137;0,97004;;;;
859,03;-414,95;0;80;114;137;0,97004;;;;
849,422;-410,7;0;80;114;137;0,97004;;;;
852,419;-412,542;0;80;114;137;0,97004;;;;
866,664;-419,836;0;80;114;137;0,97004;;;;
861,109;-417,541;0;80;114;137;0,97004;;;;
852,406;-413,715;0;80;114;137;0,97004;;;;
861,696;-418,622;0;80;114;137;0,97004;;;;
858,842;-417,631;0;80;114;137;0,97004;;;;
844,749;-411,169;0;80;114;137;0,97004;;;;
852,237;-415,207;0;80;114;137;0,97004;;;;
853,879;-416,402;0;80;114;137;0,97004;;;;
860,014;-419,791;0;80;114;137;0,97004;;;;
851,322;-415,942;0;80;114;137;0,97004;;;;
863,743;-422,411;0;80;114;137;0,97004;;;;
854,154;-418,117;0;80;114;137;0,97004;;;;
853,1;-417,996;0;80;114;137;0,97004;;;;
845,312;-414,572;0;80;114;137;0,97004;;;;
853,236;-418,853;0;80;114;137;0,97004;;;;
851,285;-418,29;0;80;114;137;0,97004;;;;
867,729;-426,773;0;80;114;137;0,97004;;;;
862,187;-424,447;0;80;114;137;0,97004;;;;
849,919;-418,802;0;80;114;137;0,97004;;;;
848,417;-418,455;0;80;114;137;0,97004;;;;
857,676;-423,42;0;80;114;137;0,97004;;;;
855,724;-422,855;0;80;114;137;0,97004;;;;
859,6;-425,169;0;80;114;137;0,97004;;;;
859,889;-425,712;0;80;114;137;0,97004;;;;
850,322;-421,371;0;80;114;137;0,97004;;;;
850,164;-421,689;0;80;114;137;0,97004;;;;
866,577;-430,233;0;80;114;137;0,97004;;;;
862,834;-428,776;0;80;114;137;0,97004;;;;
853,273;-424,423;0;80;114;137;0,97004;;;;
852,219;-424,295;0;80;114;137;0,97004;;;;
865,486;-431,304;0;80;114;137;0,97004;;;;
846,533;-422,254;0;80;114;137;0,97004;;;;
845,928;-422,347;0;80;114;137;0,97004;;;;
855,61;-427,58;0;80;114;137;0,97004;;;;
845,612;-422,978;0;80;114;137;0,97004;;;;
861,102;-431,129;0;80;114;137;0,97004;;;;
857,812;-429,882;0;80;114;137;0,97004;;;;
867,931;-435,359;0;80;114;137;0,97004;;;;
854,363;-428,953;0;80;114;137;0,97004;;;;
855,989;-430,17;0;80;114;137;0,97004;;;;
856,722;-430,939;0;80;114;137;0,97004;;;;
857,454;-431,708;0;80;114;137;0,97004;;;;
851,042;-428,878;0;80;114;137;0,97004;;;;
853,114;-430,322;0;80;114;137;0,97004;;;;
860,541;-434,472;0;80;114;137;0,97004;;;;
861,717;-435,47;0;80;114;137;0,97004;;;;
858,431;-434,212;0;80;114;137;0,97004;;;;
861,392;-436,113;0;80;114;137;0,97004;;;;
850,971;-431,237;0;80;114;137;0,97004;;;;
853,485;-432,911;0;80;114;137;0,97004;;;;
856,444;-434,815;0;80;114;137;0,97004;;;;
864,305;-439,212;0;80;114;137;0,97004;;;;
855,673;-435,228;0;80;114;137;0,97004;;;;
857,293;-436,455;0;80;114;137;0,97004;;;;
854,903;-435,64;0;80;114;137;0,97004;;;;
852,067;-434,596;0;80;114;137;0,97004;;;;
859,475;-438,779;0;80;114;137;0,97004;;;;
853,078;-435,915;0;80;114;137;0,97004;;;;
856,031;-437,827;0;80;114;137;0,97004;;;;
860,318;-440,425;0;80;114;137;0,97004;;;;
850,809;-435,958;0;80;114;137;0,97004;;;;
862,214;-442,209;0;80;114;137;0,97004;;;;
854,487;-438,649;0;80;114;137;0,97004;;;;
860,994;-442,396;0;80;114;137;0,97004;;;;
859,939;-442,26;0;80;114;137;0,97004;;;;
854,439;-439,835;0;80;114;137;0,97004;;;;
858,72;-442,444;0;80;114;137;0,97004;;;;
861,221;-444,14;0;80;114;137;0,97004;;;;
858,833;-443,315;0;80;114;137;0,97004;;;;
871,994;-450,521;0;80;114;137;0,97004;;;;
860,278;-444,875;0;80;114;137;0,97004;;;;
856,116;-443,128;0;80;114;137;0,97004;;;;
845,295;-437,927;0;80;114;137;0,97004;;;;
864,662;-448,37;0;80;114;137;0,97004;;;;
856,062;-444,317;0;80;114;137;0,97004;;;;
853,234;-443,254;0;80;114;137;0,97004;;;;
852,625;-443,342;0;80;114;137;0,97004;;;;
857,782;-446,43;0;80;114;137;0,97004;;;;
863,379;-449,753;0;80;114;137;0,97004;;;;
852,571;-444,528;0;80;114;137;0,97004;;;;
851,962;-444,615;0;80;114;137;0,97004;;;;
857,557;-447,943;0;80;114;137;0,97004;;;;
869,796;-454,749;0;80;114;137;0,97004;;;;
864,31;-452,292;0;80;114;137;0,97004;;;;
859,269;-450,063;0;80;114;137;0,97004;;;;
873,272;-457,813;0;80;114;137;0,97004;;;;
853,62;-447,917;0;80;114;137;0,97004;;;;
856,551;-449,863;0;80;114;137;0,97004;;;;
846,646;-445,065;0;80;114;137;0,97004;;;;
856,657;-450,736;0;80;114;137;0,97004;;;;
855,604;-450,59;0;80;114;137;0,97004;;;;
853,666;-449,977;0;80;114;137;0,97004;;;;
871,187;-459,628;0;80;114;137;0,97004;;;;
852,003;-449,914;0;80;114;137;0,97004;;;;
858,024;-453,503;0;80;114;137;0,97004;;;;
844,596;-446,809;0;80;114;137;0,97004;;;;
854,592;-452,506;0;80;114;137;0,97004;;;;
859,724;-455,635;0;80;114;137;0,97004;;;;
866,18;-459,47;0;80;114;137;0,97004;;;;
852,759;-452,76;0;80;114;137;0,97004;;;;
856,564;-455,19;0;80;114;137;0,97004;;;;
848,89;-451,518;0;80;114;137;0,97004;;;;
865,492;-460,764;0;80;114;137;0,97004;;;;
860,025;-458,266;0;80;114;137;0,97004;;;;
856,324;-456,705;0;80;114;137;0,97004;;;;
864,975;-461,734;0;80;114;137;0,97004;;;;
866,126;-462,763;0;80;114;137;0,97004;;;;
858,017;-458,843;0;80;114;137;0,97004;;;;
860,049;-460,343;0;80;114;137;0,97004;;;;
860,318;-460,9;0;80;114;137;0,97004;;;;
859,705;-460,985;0;80;114;137;0,97004;;;;
856,889;-459,888;0;80;114;137;0,97004;;;;
858,92;-461,391;0;80;114;137;0,97004;;;;
862,711;-463,842;0;80;114;137;0,97004;;;;
853,292;-459,189;0;80;114;137;0,97004;;;;
870,728;-468,992;0;80;114;137;0,97004;;;;
849,427;-457,928;0;80;114;137;0,97004;;;;
853,217;-460,382;0;80;114;137;0,97004;;;;
852,165;-460,226;0;80;114;137;0,97004;;;;
854,632;-461,97;0;80;114;137;0,97004;;;;
856,218;-463,241;0;80;114;137;0,97004;;;;
844,614;-457,371;0;80;114;137;0,97004;;;;
853,234;-462,451;0;80;114;137;0,97004;;;;
849,106;-460,624;0;80;114;137;0,97004;;;;
850,692;-461,896;0;80;114;137;0,97004;;;;
846,126;-459,826;0;80;114;137;0,97004;;;;
845,515;-459,903;0;80;114;137;0,97004;;;;
853,248;-464,522;0;80;114;137;0,97004;;;;
