X Y Z RGB-R RGB-G RGB-B
731.646 -465.17 0 80 114 137
739.909 -470.811 0 80 114 137
725.816 -462.225 0 80 114 137
741.665 -472.708 0 80 114 137
731.372 -466.531 0 80 114 137
729.09 -465.459 0 80 114 137
736.922 -470.846 0 80 114 137
730.427 -467.081 0 80 114 137
726.884 -465.198 0 80 114 137
745.236 -477.335 0 80 114 137
733.271 -470.058 0 80 114 137
737.725 -473.302 0 80 114 137
735.444 -472.227 0 80 114 137
726.014 -466.554 0 80 114 137
727.101 -467.637 0 80 114 137
734.915 -473.05 0 80 114 137
737.26 -474.949 0 80 114 137
724.475 -467.097 0 80 114 137
733.964 -473.602 0 80 114 137
717.406 -463.298 0 80 114 137
723.952 -467.908 0 80 114 137
717.899 -464.377 0 80 114 137
721.503 -467.09 0 80 114 137
726.364 -470.622 0 80 114 137
724.091 -469.533 0 80 114 137
714.688 -463.815 0 80 114 137
718.289 -466.533 0 80 114 137
723.564 -470.344 0 80 114 137
731.771 -476.068 0 80 114 137
715.671 -465.974 0 80 114 137
717.591 -467.606 0 80 114 137
711.972 -464.323 0 80 114 137
724.359 -472.788 0 80 114 137
718.322 -469.23 0 80 114 137
722.751 -472.508 0 80 114 137
704.165 -460.733 0 80 114 137
722.816 -473.322 0 80 114 137
730.166 -478.525 0 80 114 137
712.01 -467.006 0 80 114 137
710.163 -466.174 0 80 114 137
719.183 -472.479 0 80 114 137
714.41 -469.726 0 80 114 137
719.665 -473.566 0 80 114 137
725.752 -477.96 0 80 114 137
715.971 -471.902 0 80 114 137
717.047 -472.996 0 80 114 137
715.618 -472.437 0 80 114 137
708.35 -468.019 0 80 114 137
711.095 -470.214 0 80 114 137
714.672 -472.963 0 80 114 137
719.08 -476.267 0 80 114 137
707.65 -469.076 0 80 114 137
717.891 -476.251 0 80 114 137
718.963 -477.349 0 80 114 137
710.039 -471.806 0 80 114 137
704.867 -468.749 0 80 114 137
715.93 -476.492 0 80 114 137
706.181 -470.384 0 80 114 137
716.822 -477.858 0 80 114 137
718.723 -479.514 0 80 114 137
712.722 -475.895 0 80 114 137
713.792 -476.994 0 80 114 137
705.301 -471.702 0 80 114 137
709.28 -474.746 0 80 114 137
717.826 -480.855 0 80 114 137
708.925 -475.276 0 80 114 137
712.9 -478.327 0 80 114 137
713.136 -478.872 0 80 114 137
710.882 -477.743 0 80 114 137
715.267 -481.078 0 80 114 137
715.088 -481.346 0 80 114 137
716.152 -482.451 0 80 114 137
715.143 -482.159 0 80 114 137
702.528 -474.036 0 80 114 137
715.611 -483.253 0 80 114 137
705.488 -476.801 0 80 114 137
713.593 -482.667 0 80 114 137
717.139 -485.456 0 80 114 137
705.367 -477.871 0 80 114 137
697.74 -473.084 0 80 114 137
712.044 -483.171 0 80 114 137
716 -486.246 0 80 114 137
705.066 -479.206 0 80 114 137
708.608 -482 0 80 114 137
707.188 -481.42 0 80 114 137
709.487 -483.374 0 80 114 137
709.307 -483.639 0 80 114 137
704.996 -481.085 0 80 114 137
712.661 -486.706 0 80 114 137
707.939 -483.869 0 80 114 137
723.44 -494.86 0 80 114 137
707.165 -484.115 0 80 114 137
703.684 -482.118 0 80 114 137
704.328 -482.947 0 80 114 137
702.911 -482.361 0 80 114 137
714.271 -490.549 0 80 114 137
712.44 -489.683 0 80 114 137
712.669 -490.232 0 80 114 137
724.017 -498.437 0 80 114 137
709.42 -488.779 0 80 114 137
715.824 -493.585 0 80 114 137
702.059 -484.481 0 80 114 137
719.981 -497.245 0 80 114 137
715.682 -494.671 0 80 114 137
712.618 -492.947 0 80 114 137
723.123 -500.613 0 80 114 137
712.25 -493.48 0 80 114 137
712.887 -494.315 0 80 114 137
